S.No.,State Code,State Name,District Code,District Name,Sub-district Code,Sub-district Version,Sub-district Name,Census 2001 code,Census 2011 code
154,22,CHHATTISGARH,389,SURGUJA,3247,2,Ambikapur,6,03247
155,33,TAMIL NADU,732,Tirupathur,5719,15,Ambur,0,05719
156,10,BIHAR,201,KATIHAR,1157,1,Amdabad,16,01157
157,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,1,Amdanga,7,02322
158,36,TELANGANA,691,SANGAREDDY,6276,1,Ameenpur,,00000
159,36,TELANGANA,507,HYDERABAD,4497,1,Ameerpet,2,04497
160,8,RAJASTHAN,112,RAJSAMAND,641,4,Amet,3,00641
161,9,UTTAR PRADESH,640,Amethi,914,8,Amethi,3,00914
162,27,MAHARASHTRA,476,GONDIA,4047,1,Amgaon,4,04047
163,18,ASSAM,300,SIVASAGAR,2072,3,Amguri,3,02072
164,31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,5620,1,Amini,1,05620
165,33,TAMIL NADU,568,CHENNAI,7161,1,Aminjikarai,,00000
166,24,GUJARAT,441,BANAS KANTHA,3736,1,Amirgadh,5,03736
167,23,MADHYA PRADESH,394,BETUL,3605,1,Amla,5,03605
168,17,MEGHALAYA,275,WEST JAINTIA HILLS,1998,1,Amlarem,3,01998
169,3,PUNJAB,30,FATEHGARH SAHIB,222,1,Amloh,3,00222
170,10,BIHAR,218,SARAN,1261,1,Amnour,14,01261
171,24,GUJARAT,442,BHARUCH,3914,1,Amod,2,03914
172,10,BIHAR,214,PURNIA,1138,1,Amour,11,01138
173,36,TELANGANA,694,NAGARKURNOOL,4578,3,Amrabad,30,04578
174,20,JHARKHAND,337,PAKUR,2574,1,Amrapara,2,02574
175,27,MAHARASHTRA,468,AMRAVATI,4009,1,Amravati,9,04009
176,24,GUJARAT,439,AMRELI,3843,1,Amreli,5,03843
177,9,UTTAR PRADESH,141,FARRUKHABAD,831,2,Amritpur,2,00831
178,3,PUNJAB,27,AMRITSAR,256,2,Amritsar -I,2,00256
179,3,PUNJAB,27,AMRITSAR,257,1,Amritsar- II,3,00257
180,9,UTTAR PRADESH,154,AMROHA,730,6,Amroha,2,00730
181,28,ANDHRA PRADESH,506,GUNTUR,5086,1,Amruthalur,47,05086
182,19,WEST BENGAL,313,HOWRAH,2400,1,Amta - I,3,02400
183,19,WEST BENGAL,313,HOWRAH,2399,1,Amta - II,2,02399
184,33,TAMIL NADU,595,VELLORE,5964,8,Anaicut,,00000
185,33,TAMIL NADU,569,COIMBATORE,6643,1,Anaimalai,,00000
186,28,ANDHRA PRADESH,520,VISAKHAPATANAM,4871,1,Anakapalle,31,04871
187,21,ODISHA,361,KENDUJHAR,2854,1,Anandapur,19,02854
188,28,ANDHRA PRADESH,520,VISAKHAPATANAM,4863,1,Anandapuram,23,04863
189,24,GUJARAT,440,ANAND,6530,1,Anand City,,00000
190,20,JHARKHAND,343,WEST SINGHBHUM,2734,2,Anandpur,0,02734
191,8,RAJASTHAN,88,BANSWARA,6061,1,ANANDPURI,,00000
192,3,PUNJAB,42,RUPNAGAR,262,1,Anandpur Sahib,1,00262
193,24,GUJARAT,440,ANAND,3864,3,Anand Rural,4,03864
194,28,ANDHRA PRADESH,502,ANANTAPUR,5330,1,Anantapur,27,05330
195,36,TELANGANA,696,SURYAPET,6302,1,Ananthagiri,,00000
196,28,ANDHRA PRADESH,520,VISAKHAPATANAM,4845,1,Ananthagiri,5,04845
197,28,ANDHRA PRADESH,515,SPSR NELLORE,5173,1,Ananthasagaram,21,05173
198,1,JAMMU AND KASHMIR,1,ANANTNAG,55,14,Anantnag,3,00055
199,1,JAMMU AND KASHMIR,1,ANANTNAG,6822,6,Anantnag East,,00000
200,28,ANDHRA PRADESH,505,EAST GODAVARI,4917,1,Anaparthy,33,04917
201,33,TAMIL NADU,577,KRISHNAGIRI,6662,1,Anchetty,,00000
202,10,BIHAR,222,SIWAN,1243,1,Andar,15,01243
203,10,BIHAR,206,MADHUBANI,1096,1,Andhratharhi,17,01096
204,33,TAMIL NADU,610,Ariyalur,5983,4,Andimadam,,00000
205,33,TAMIL NADU,588,THENI,5846,1,Andipatti,5,05846
206,21,ODISHA,370,RAYAGADA,3178,1,Andirakanch,10,03178
207,36,TELANGANA,691,SANGAREDDY,4479,2,Andole,29,04479
208,31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,5627,1,Andrott,3,05627
209,29,KARNATAKA,525,BENGALURU URBAN,5545,1,Anekal,3,05545
210,12,ARUNACHAL PRADESH,230,DIBANG VALLEY,1720,2,Anelih,4,01720
211,20,JHARKHAND,339,RANCHI,2686,1,Angara,4,02686
212,13,NAGALAND,247,MON,1754,1,Angjangyang,0,01754
213,2,HIMACHAL PRADESH,20,KULLU,121,3,Ani,5,00121
214,12,ARUNACHAL PRADESH,230,DIBANG VALLEY,1718,2,Anini,0,01718
215,23,MADHYA PRADESH,393,BARWANI,3557,1,Anjad,0,03557
216,27,MAHARASHTRA,468,AMRAVATI,4003,1,Anjangaon Surji,3,04003
217,24,GUJARAT,449,KACHCHH,3725,1,Anjar,4,03725
218,24,GUJARAT,440,ANAND,3868,1,Anklav,8,03868
219,24,GUJARAT,442,BHARUCH,3918,1,Anklesvar,6,03918
220,29,KARNATAKA,550,UTTARA KANNADA,5484,1,Ankola,7,05484
221,36,TELANGANA,690,BHADRADRI KOTHAGUDEM,6268,1,Annapureddypalli,,00000
222,29,KARNATAKA,536,DHARWAD,7080,2,ANNIGERI,,00000
223,33,TAMIL NADU,569,COIMBATORE,5955,1,annur,,00000
224,22,CHHATTISGARH,381,KANKER,3353,1,Antagarh,5,03353
225,8,RAJASTHAN,89,BARAN,671,1,Antah,2,00671
226,36,TELANGANA,682,PEDDAPALLI,6214,1,ANTHERGAON,,00000
227,33,TAMIL NADU,573,ERODE,5969,1,Anthiyur,,00000
228,21,ODISHA,344,ANUGUL,3011,1,Anugul,12,03011
229,28,ANDHRA PRADESH,515,SPSR NELLORE,5165,1,Anumasamudrampeta,13,05165
230,36,TELANGANA,514,NALGONDA,4660,2,Anumula,48,04660
231,8,RAJASTHAN,100,GANGANAGAR,462,3,Anupgarh,6,00462
232,23,MADHYA PRADESH,390,ANUPPUR,3694,1,Anuppur,6,03694
233,9,UTTAR PRADESH,134,BULANDSHAHR,748,2,Anupshahr,4,00748
234,9,UTTAR PRADESH,130,BAREILLY,786,1,Aonla,3,00786
235,13,NAGALAND,244,DIMAPUR,1793,1,Aquqhnaqua,0,01793
236,8,RAJASTHAN,86,AJMER,6659,9,Arain,,00000
237,33,TAMIL NADU,731,Ranipet,5715,4,Arakonam,4,05715
238,28,ANDHRA PRADESH,520,VISAKHAPATANAM,4844,1,Araku Valley,4,04844
239,19,WEST BENGAL,312,HOOGHLY,2340,1,Arambag,3,02340
240,22,CHHATTISGARH,387,RAIPUR,3330,1,Arang,7,03330
241,33,TAMIL NADU,593,TIRUVANNAMALAI,5721,2,Arani,1,05721
242,33,TAMIL NADU,582,PUDUKKOTTAI,5826,1,Aranthangi,7,05826
243,10,BIHAR,188,ARARIA,1116,1,Araria,5,01116
244,33,TAMIL NADU,576,KARUR,5768,2,Aravakurichi,1,05768
245,33,TAMIL NADU,731,Ranipet,5716,4,Arcot,5,05716
246,27,MAHARASHTRA,485,NANDED,4099,1,Ardhapur,5,04099
247,28,ANDHRA PRADESH,517,PRAKASAM,5116,1,Ardhaveedu,20,05116
248,10,BIHAR,213,PURBI CHAMPARAN,1045,1,Areraj,15,01045
249,10,BIHAR,219,SHEIKHPURA,1377,1,Ariari,6,01377
250,1,JAMMU AND KASHMIR,11,PULWAMA,6795,7,Aripal,,00000
251,33,TAMIL NADU,610,Ariyalur,5787,2,Ariyalur,3,05787
252,27,MAHARASHTRA,476,GONDIA,4050,1,Arjuni Morgaon,7,04050
253,21,ODISHA,354,GANJAM,3088,1,ARJYAPALLI MARINE,13,03088
254,29,KARNATAKA,539,HASSAN,5558,1,Arkalgud,6,05558
255,2,HIMACHAL PRADESH,25,SOLAN,158,14,Arki,1,00158
256,36,TELANGANA,516,NIZAMABAD,4360,2,Armoor,4,04360
257,27,MAHARASHTRA,475,GADCHIROLI,4053,1,Armori,2,04053
258,1,JAMMU AND KASHMIR,627,REASI,6740,2,Arnas,,00000
259,27,MAHARASHTRA,500,YAVATMAL,4088,1,Arni,10,04088
260,1,JAMMU AND KASHMIR,5,JAMMU,6717,2,Arnia,,00000
261,8,RAJASTHAN,629,PRATAPGARH,700,2,Arnod,13,00700
262,23,MADHYA PRADESH,406,GUNA,3682,1,Aron,8,03682
263,10,BIHAR,193,BHOJPUR,1422,1,Arrah,2,01422
264,19,WEST BENGAL,321,PURULIA,2389,1,Arsha,12,02389
265,29,KARNATAKA,539,HASSAN,5555,1,Arsikere,3,05555
266,8,RAJASTHAN,88,BANSWARA,6922,7,Artuna,,00000
267,33,TAMIL NADU,597,VIRUDHUNAGAR,5853,1,Aruppukkottai,7,05853
268,27,MAHARASHTRA,498,WARDHA,4017,1,Arvi,3,04017
269,10,BIHAR,611,ARWAL,1542,1,Arwal,1,01542
270,10,BIHAR,207,MUNGER,1361,1,Asarganj,6,01361
271,24,GUJARAT,438,AHMADABAD,6512,1,Asarva,,00000
272,23,MADHYA PRADESH,391,ASHOKNAGAR,3686,2,Ashoknagar,4,03686
273,23,MADHYA PRADESH,427,SEHORE,3584,1,Ashta,2,03584
274,27,MAHARASHTRA,470,BEED,4215,1,Ashti,1,04215
275,27,MAHARASHTRA,498,WARDHA,4015,1,Ashti,1,04015
276,36,TELANGANA,699,KUMURAM BHEEM ASIFABAD,4319,2,Asifabad,15,04319
277,36,TELANGANA,507,HYDERABAD,4506,2,Asif Nagar,11,04506
278,21,ODISHA,354,GANJAM,3078,1,ASIKA,7,03078
279,8,RAJASTHAN,92,BHILWARA,627,2,Asind,1,00627
280,8,RAJASTHAN,105,JHALAWAR,6055,1,ASNAWAR,,00000
281,28,ANDHRA PRADESH,511,KURNOOL,5275,1,Aspari,26,05275
282,8,RAJASTHAN,99,DUNGARPUR,647,2,Aspur,2,00647
283,6,HARYANA,67,KARNAL,373,4,Assandh,4,00373
284,1,JAMMU AND KASHMIR,4,DODA,6752,2,Assar,,00000
285,21,ODISHA,369,PURI,3060,1,Astaranga,5,03060
286,10,BIHAR,209,NALANDA,1385,1,Asthawan,8,01385
287,13,NAGALAND,251,ZUNHEBOTO,1770,1,Asuto,4,01770
288,36,TELANGANA,690,BHADRADRI KOTHAGUDEM,4728,2,Aswapuram,6,04728
289,36,TELANGANA,690,BHADRADRI KOTHAGUDEM,4749,2,Aswaraopeta,27,04749
290,9,UTTAR PRADESH,128,BANDA,873,1,Atarra,3,00873
