Local Body Code,Local Body Version,Local Body Name (IN English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Intermediate/Block Panchayat Code,District Panchayat Code,State Code,State Name (In English)
283827,2,Chore Bolbok,,22,Village Employment Council,291877,0,17,MEGHALAYA
283807,2,Chore Pahar,,22,Village Employment Council,291877,0,17,MEGHALAYA
286630,2,Chota Killing,,22,Village Employment Council,292211,0,17,MEGHALAYA
284244,2,Chotcholja,,22,Village Employment Council,291878,0,17,MEGHALAYA
282664,2,Chotodoldonga,,22,Village Employment Council,291879,0,17,MEGHALAYA
283914,2,Choto Miapara,,22,Village Employment Council,291782,0,17,MEGHALAYA
283464,2,Chotto-Bolang,,22,Village Employment Council,291726,0,17,MEGHALAYA
282562,2,Choudenggre,,22,Village Employment Council,291880,0,17,MEGHALAYA
284141,2,Chramdenperam,,22,Village Employment Council,291947,0,17,MEGHALAYA
285274,2,Chramgre,,22,Village Employment Council,291881,0,17,MEGHALAYA
283411,2,Chura Budigiri,,22,Village Employment Council,291882,0,17,MEGHALAYA
283383,2,Churabudugre,,22,Village Employment Council,291811,0,17,MEGHALAYA
285374,2,Chutmang Gonggrot,,22,Village Employment Council,291883,0,17,MEGHALAYA
285376,2,Chutmang Songmong,,22,Village Employment Council,291883,0,17,MEGHALAYA
288344,2,Chutwakhu Sarhen,,22,Village Employment Council,292297,0,17,MEGHALAYA
288259,2,Chyrmang Nein,,22,Village Employment Council,291884,0,17,MEGHALAYA
288271,2,Chyrmang Wah,,22,Village Employment Council,291884,0,17,MEGHALAYA
285217,2,Coal India Colony,,22,Village Employment Council,292162,0,17,MEGHALAYA
282271,2,Dabakgre,,22,Village Employment Council,291885,0,17,MEGHALAYA
282628,2,Dabakgre,,22,Village Employment Council,292109,0,17,MEGHALAYA
284773,2,Dabalgre,,22,Village Employment Council,292005,0,17,MEGHALAYA
282642,2,Dabang Bolsaldamgiri,,22,Village Employment Council,291886,0,17,MEGHALAYA
282660,2,Dabang Dodinpara,,22,Village Employment Council,291887,0,17,MEGHALAYA
282635,2,Dabanggajingpara,,22,Village Employment Council,291888,0,17,MEGHALAYA
282634,2,Dabanggre,,22,Village Employment Council,291888,0,17,MEGHALAYA
283414,2,Dabelagre,,22,Village Employment Council,291621,0,17,MEGHALAYA
282448,2,Dabigre,,22,Village Employment Council,293354,0,17,MEGHALAYA
285353,2,Dabigre,,22,Village Employment Council,292530,0,17,MEGHALAYA
285088,2,Dabingre,,22,Village Employment Council,293532,0,17,MEGHALAYA
285090,2,Dabin Somol,,22,Village Employment Council,293532,0,17,MEGHALAYA
285123,2,Dabin Songgital,,22,Village Employment Council,293532,0,17,MEGHALAYA
285124,2,Dabin Songmong,,22,Village Employment Council,293532,0,17,MEGHALAYA
285327,2,Dabi Songgital,,22,Village Employment Council,292530,0,17,MEGHALAYA
285329,2,Dabit Ampangdam,,22,Village Employment Council,291889,0,17,MEGHALAYA
285330,2,Dabit Gonganagar,,22,Village Employment Council,291889,0,17,MEGHALAYA
285321,2,Dabit Songital,,22,Village Employment Council,291889,0,17,MEGHALAYA
282670,2,Dabonggiri,,22,Village Employment Council,291890,0,17,MEGHALAYA
282432,2,Dabonggre,,22,Village Employment Council,291692,0,17,MEGHALAYA
282852,2,Dachigre,,22,Village Employment Council,293494,0,17,MEGHALAYA
282853,2,Dachimagre,,22,Village Employment Council,292054,0,17,MEGHALAYA
282462,2,Dadenggre,,22,Village Employment Council,292763,0,17,MEGHALAYA
284980,2,Dadinggiri,,22,Village Employment Council,291962,0,17,MEGHALAYA
283425,2,Dadokgre,,22,Village Employment Council,291927,0,17,MEGHALAYA
