S.No.,Assembly Constituency Code,Assembly Constituency ECI Code,Assembly Constituency Name,Block Code,Block Name,District Census 2011 Code,District Code,District Name,Localbody Code,Localbody Name,Parliament Constituency code,Parliament Constituency ECI Code,Parliament Constituency Name,State Name,Subdistrict Census 2011 Code,Subdistrict Code,Subdistrict Name,Village Census 2011 Code,Village Code,Village Name
6947,3867,66,Polur,6406,CHETPUT,606,593,TIRUVANNAMALAI,231093,Vadamathimangalam,504,,Arani,TAMIL NADU,05724,5724,Polur,631689,631689,Vadamathimangalam
6948,3978,107,Bhavanisagar,6170,SATYAMANGALAM,610,573,ERODE,223819,KOOTHAMPALAYAM,523,18,Nilgiris,TAMIL NADU,05749,5749,Sathyamangalam,634776,634776,Koothampalayam
6949,3995,183,Aranthangi,6265,ARANTANGI,621,582,PUDUKKOTTAI,226671,Kammangadu,526,34,Ramanathapuram,TAMIL NADU,05826,5826,Aranthangi,639756,639756,Ulagalandanvayal
6950,3952,54,Veppanahalli,6214,VEPPANAPALLI,631,577,KRISHNAGIRI,225102,V.madepalli,518,14,Krishnagiri,TAMIL NADU,05891,5891,Krishnagiri,643902,643902,Pandikurikki
6951,3890,150,Jayankondam,6257,JAYAMKONDAM,616,610,Ariyalur,226412,Kazhuvanthondi,508,12,Chidambaram,TAMIL NADU,05786,5786,Udayarpalayam,636377,636377,Periyavalayam
6952,3864,68,Cheyyar,6419,VEMBAKKAM,606,593,TIRUVANNAMALAI,231722,Thiruppanamur,504,,Arani,TAMIL NADU,00000,6624,Vembakkam,631247,631247,Thiruppanamoor
6953,4036,197,Usilampatti,6222,SEDAPATTI,623,578,MADURAI,225366,SEDAPATTY,532,,Theni,TAMIL NADU,05839,5839,Peraiyur,640870,640870,Sedapatti
6954,4079,76,Thirukoilur,6468,THIRUVENNAINALLUR,607,596,VILLUPURAM,233669,PAVANDHUR,540,,Viluppuram,TAMIL NADU,00000,7053,THIRUVENNAINALLUR,633203,633203,Pavandur
6955,4012,185,Tiruppattur,6318,TIRUPPATHUR,622,585,SIVAGANGA,228302,MANAMELPATTI,528,33,Sivaganga,TAMIL NADU,05829,5829,Thiruppathur,640004,640004,Nedumaram
6956,3867,66,Polur,6406,CHETPUT,606,593,TIRUVANNAMALAI,231073,Mattapiraiyur,504,,Arani,TAMIL NADU,05724,5724,Polur,631767,631767,Otteri
