Assembly Constituency Code,Assembly Constituency ECI Code,Assembly Constituency Name,Block Code,Block Name,District Census 2011 Code,District Code,District Name,Localbody Code,Localbody Name,Parliament Constituency code,Parliament Constituency ECI Code,Parliament Constituency Name,State Name,Subdistrict Census 2011 Code,Subdistrict Code,Subdistrict Name,Village Census 2011 Code,Village Code,Village Name
3595,199,Sakleshpur,5853,SAKALESHPUR,574,539,HASSAN,218453,MALALI,469,19,Hassan,KARNATAKA,05553,5553,Sakleshpur,614910,614910,Echalvalli Estate,
3647,117,Sagar,5900,SAGAR,568,547,SHIVAMOGGA,219926,NADAKALASI,476,21,Shivamogga,KARNATAKA,05515,5515,Sagar,000000,926088,VADNALA,
3590,194,Arsikere,5848,ARSIKERE,574,539,HASSAN,218268,KALYADI,469,19,Hassan,KARNATAKA,05555,5555,Arsikere,615520,615520,Rangapura Kaval,
3593,197,Holenarasipur,5851,HASSAN,574,539,HASSAN,218367,A.HOSAHALLI,469,19,Hassan,KARNATAKA,05556,5556,Hassan,615994,615994,Bommenahalli,
3593,197,Holenarasipur,5851,HASSAN,574,539,HASSAN,218382,HONNAVARA,469,19,Hassan,KARNATAKA,05556,5556,Hassan,615941,615941,Honnavara,
3587,35,Jevargi,5841,JEVARGI,579,538,KALABURAGI,218044,KADKOL,468,2,Kalaburagi,KARNATAKA,05586,5586,Jevargi,620787,620787,Telegbal,
3610,145,Mulbagal,5872,MULBAGAL,581,542,KOLAR,219011,PICHAGUNTLAHALLI,471,10,Kolar,KARNATAKA,05594,5594,Mulbagal,623125,623125,Doddaguttahalli,
3537,139,Gauribidanur,5868,GAURIBIDANUR,582,630,CHIKKABALLAPURA,218909,NAKKALAHALLI,462,9,Chikkballapur,KARNATAKA,05595,5595,Gauribidanur,623293,623293,Katanakallu,
3524,33,Sindgi,5797,SINDAGI,557,530,VIJAYAPURA,216642,GABBASAVALAGI,460,28,Vijayapura,KARNATAKA,05451,5451,Sindgi,599327,599327,Aheri,
3607,148,Kolar,5870,KOLAR,581,542,KOLAR,218947,MUDUVATHI,471,10,Kolar,KARNATAKA,05591,5591,Kolar,621878,621878,Nernahalli,
